project_facility_name,project_city,project_state,project_county,project_lat,project_long,project_status,project_mw,project_operator,event_type,event_subtype,decision,actor,actor_level,date,date_precision,source_url,source_quote
Chesterfield Google Data Center,Chester,VA,Chesterfield,37.34593,-77.3102,Proposed,200,Google,power_purchase_agreement_signed,PPA with Commonwealth Fusion Systems for 400MW nuclear fusion plant,n_a,Google / Commonwealth Fusion Systems,developer,2025-08,month,https://richmondbizsense.com/2025/08/27/breaking-news-google-planning-chesterfield-data-center-as-part-of-9b-expansion-in-virginia/,"The announcement follows a recent power-purchase agreement struck between Google and Commonwealth Fusion Systems, in which Google would buy half of the electricity generated by a 400-megawatts nuclear fusion power plant."
Chesterfield Google Data Center,Chester,VA,Chesterfield,37.34593,-77.3102,Proposed,200,Google,construction_started,ground broken at time of public announcement,in_progress,Google,developer,2025-08-27,day,https://www.wric.com/news/local-news/chesterfield-county/google-site-plan-project-peanut-data-center-chesterfield,"When Virginia leaders first announced plans for the data facilities in August, authorities said Google had already broken ground on the project at the time of the announcement."
Chesterfield Google Data Center,Chester,VA,Chesterfield,37.34593,-77.3102,Proposed,200,Google,site_plan_applied,"full data center campus site plan — three buildings, ~856,000 sq ft",filed,Google,developer,2025-11-09,day,https://www.wric.com/news/local-news/chesterfield-county/google-site-plan-project-peanut-data-center-chesterfield,"The tech giant filed its site plan for nearly 856,000 square feet in data facilities called ""Project Peanut"" on Sunday, Nov. 9."
Chevron Data Center (closed),San Antonio,TX,Bexar,29.48045,-98.6963,Operating,,,fully_operational,Operating status noted; facility described as fully regulated and operating,n_a,unknown,other,<UNKNOWN>,year,other_info,FULLY REGULATED
Childress Data Center (Horizon 1),Childress,TX,Childress,34.383278,-100.056885,Operating,750,IREN,project_announced,Horizon 1 AI data center announced via Q2 2025 earnings report,n_a,IREN (Iris Energy),developer,2025-03-11,day,https://www.datacenterdynamics.com/en/news/iren-plans-75mw-liquid-cooled-ai-data-center-in-texas/,IREN is planning to deploy a new 75MW liquid-cooled data center for AI/HPC at its Childress site in Texas. The facility will be known as Horizon 1
Childress Data Center (Horizon 1),Childress,TX,Childress,34.383278,-100.056885,Operating,750,IREN,other,Site energization — 450MW of 750MW total capacity currently energized,in_progress,IREN (Iris Energy),developer,2025-03-11,day,https://www.datacenterdynamics.com/en/news/iren-plans-75mw-liquid-cooled-ai-data-center-in-texas/,"The 420-acre Childress site totals 750MW, with some 450MW currently energized."
Childress Data Center (Horizon 1),Childress,TX,Childress,34.383278,-100.056885,Operating,750,IREN,partial_operational,Horizon 1 75MW phase planned for completion H2 2025,planned,IREN (Iris Energy),developer,2025,year,https://www.datacenterdynamics.com/en/news/iren-plans-75mw-liquid-cooled-ai-data-center-in-texas/,The facility will be known as Horizon 1 and is set for completion in H2 2025.
Childress Data Center (Horizon 1),Childress,TX,Childress,34.383278,-100.056885,Operating,750,IREN,other,Childress Data Center registered as a Qualifying Data Center in Texas (IREN),approved,Texas Comptroller of Public Accounts,state,2025,year,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,Following are lists of all registered Qualifying Data Centers and Qualifying Large Data Center Projects in Texas.
Cielo Digital Infrastructure,Chisago,MN,Chisago,45.3618,-92.9186,Proposed,300,,project_announced,,planned,Cielo Digital Infrastructure,developer,2025-06-24,day,https://www.datacenterdynamics.com/en/news/cielo-digital-infrastructure-plans-300mw-data-center-campus-in-south-carolina/,"In Chisago, Minnesota, the company aims to develop 157 acres into a 300MW campus."
Cielo Digital Infrastructure,Clarksville,TN,Montgomery,36.57269,-87.3423,Proposed,350,,project_announced,Project listed as planned on Cielo website; referenced in South Carolina announcement article,planned,Cielo Digital Infrastructure,developer,2025-06-24,day,https://www.datacenterdynamics.com/en/news/cielo-digital-infrastructure-plans-300mw-data-center-campus-in-south-carolina/,"the Tennessee development, in Clarksville, will offer 350MW across 107 acres"
Cielo Digital Infrastructure,Culpeper,VA,Culpeper,38.466785,-77.96353,Proposed,,Cielo Digital Infrastructure,rezoning_applied,Rezoning application from RA to LI for 120.85 acres,filed,Cielo Digital Infrastructure LLC,developer,2023,year,http://go.boarddocs.com/va/ccva/Board.nsf/goto?open&id=CWBKLL525B17,Case No. Z-459-23-1: Request by Cielo Digital Infrastructure LLC (Robert Book) to rezone 120.85 acres from RA (Rural Area) to LI (Light Industrial).
Cielo Digital Infrastructure,Des Moines,IA,Polk,41.57011,-93.5839,Proposed,150,,project_announced,,planned,Cielo Digital Infrastructure,developer,2025-06-24,day,https://www.datacenterdynamics.com/en/news/cielo-digital-infrastructure-plans-300mw-data-center-campus-in-south-carolina/,"in Des Moines, Iowa, the company aims to develop 166 acres into a 150MW campus."
Cielo Digital Infrastructure,Gaffney,SC,Cherokee,35.07913,-81.5961,Proposed,300,,project_announced,,planned,Cielo Digital Infrastructure,developer,2025-06-24,day,https://www.datacenterdynamics.com/en/news/cielo-digital-infrastructure-plans-300mw-data-center-campus-in-south-carolina/,"The company this week announced plans to develop a $2.1 billion data center campus in Cherokee County, on the state border with North Carolina, east of Spartanburg and west of Charlotte."
Cielo Digital Infrastructure,Gaffney,SC,Cherokee,35.07913,-81.5961,Proposed,300,,partial_operational,initial operations target date,planned,Cielo Digital Infrastructure,developer,2028,year,https://www.datacenterdynamics.com/en/news/cielo-digital-infrastructure-plans-300mw-data-center-campus-in-south-carolina/,Initial operations are expected to be online by year-end 2028.
Cielo Digital Infrastructure,Haines City,FL,Polk,28.17875,-81.6457,Proposed,300,,project_announced,,planned,Cielo Digital Infrastructure,developer,2025-06-24,day,https://www.datacenterdynamics.com/en/news/cielo-digital-infrastructure-plans-300mw-data-center-campus-in-south-carolina/,"The Florida development, in Haines City, will offer 300MW across 74 acres"
Cielo Digital Infrastructure,Hudson,CO,Weld,40.09549,-104.609,Proposed,750,,project_announced,Project existence confirmed in article about Cielo's South Carolina announcement,planned,Cielo Digital Infrastructure,developer,2025-06-24,day,https://www.datacenterdynamics.com/en/news/cielo-digital-infrastructure-plans-300mw-data-center-campus-in-south-carolina/,"In Hudson, Colorado, Cielo aims to develop a 500-acre site offering 750MW."
Cielo Digital Infrastructure,Kansas City,MO,Jackson,39.01764,-94.5668,Proposed,500,,project_announced,Project plans publicly noted alongside South Carolina announcement,planned,Cielo Digital Infrastructure,developer,2025-06-24,day,https://www.datacenterdynamics.com/en/news/cielo-digital-infrastructure-plans-300mw-data-center-campus-in-south-carolina/,"On the Missouri side of Kansas City, the company aims to develop up to 500MW of capacity on 146 acres."
Cielo Digital Infrastructure,Minooka,IL,Grundy,41.45592,-88.2842,Proposed,500,,project_announced,"Project publicly referenced as planned 500MW / 159-acre development in Minooka, IL",planned,Cielo Digital Infrastructure,developer,2025-06-24,day,https://www.datacenterdynamics.com/en/news/cielo-digital-infrastructure-plans-300mw-data-center-campus-in-south-carolina/,"In Illinois, the company aims to develop a 141-acre project in New Lenox that will offer 300MW and a 159-acre development in Minooka set to offer 500MW."
Cielo Digital Infrastructure,Mustang Ridge,TX,Travis,30.05179,-97.6772,Proposed,500,,project_announced,Project plans publicly disclosed via coverage of Cielo's broader US portfolio,planned,Cielo Digital Infrastructure,developer,2025-06-24,day,https://www.datacenterdynamics.com/en/news/cielo-digital-infrastructure-plans-300mw-data-center-campus-in-south-carolina/,"In Texas, Cielo is targeting a 500MW development on 472 acres at Mustang Ridge."
Cielo Digital Infrastructure,New Lenox,IL,Will,41.51055,-87.969,Proposed,350,,project_announced,"Multi-site portfolio announcement referencing New Lenox, IL 300MW / 141-acre project",planned,Cielo Digital Infrastructure,developer,2025-06-24,day,https://www.datacenterdynamics.com/en/news/cielo-digital-infrastructure-plans-300mw-data-center-campus-in-south-carolina/,"In Illinois, the company aims to develop a 141-acre project in New Lenox that will offer 300MW and a 159-acre development in Minooka set to offer 500MW."
CITICORP DATA SYSTEMS,San Antonio,TX,Bexar,29.41341,-98.7773,Operating,,,fully_operational,facility operating with emergency power generator; no date available in source,n_a,Citicorp Data Systems,developer,<UNKNOWN>,year,other_info,EMERG POWER GENERATOR
Clarksville Data Center,Clarksville,AR,Johnson,35.454384,-93.44725,Proposed,,Serverfarm,project_announced,,n_a,Serverfarm,developer,2025-11-27,day,https://www.datacenterdynamics.com/en/news/serverfarm-targets-135-acre-data-center-campus-in-arkansas/,"Serverfarm targets 135-acre data center campus in Arkansas... November 27, 2025"
Clarksville Data Center,Clarksville,AR,Johnson,35.454384,-93.44725,Proposed,,Serverfarm,land_purchased,,n_a,Serverfarm / SF ARK1 LLC,developer,2025,year,https://www.datacenterdynamics.com/en/news/serverfarm-targets-135-acre-data-center-campus-in-arkansas/,"Pilkington said the site will utilize a closed-loop water cooling system... site, acquired earlier this year via its SF ARK1 LLC affiliate."
Clarksville Data Center,Clarksville,AR,Johnson,35.454384,-93.44725,Proposed,,Serverfarm,site_plan_applied,,filed,Serverfarm,developer,2025-11,month,https://www.datacenterdynamics.com/en/news/serverfarm-targets-135-acre-data-center-campus-in-arkansas/,The Clarksville planning and zoning commission met to discuss the campus site plan review last week.
Clarksville Data Center,Clarksville,AR,Johnson,35.454384,-93.44725,Proposed,,Serverfarm,site_plan_approved,Phase 1 of three planned phases approved,approved,Clarksville Planning and Zoning Commission,local,2025-11,month,https://www.datacenterdynamics.com/en/news/serverfarm-targets-135-acre-data-center-campus-in-arkansas/,The Graphic noted the commission approved the first of three planned phases of development.
Clarksville Data Center Campus,Clarksville,VA,Mecklenburg,36.63564,-78.5181,Proposed,,Microsoft,USACE_404_applied,,filed,"US Army Corps of Engineers, Norfolk District",federal,2022-10,month,https://www.datacenterdynamics.com/en/news/microsoft-files-for-another-virginia-campus-in-mecklenburg-county/,The US Army Corps Of Engineers' Norfolk District this week received a joint permit application for Federal and State permits from the company.
Clarksville Data Center Campus,Clarksville,VA,Mecklenburg,36.63564,-78.5181,Proposed,,Microsoft,project_announced,Project filing publicly reported,n_a,Microsoft,developer,2022-10-26,day,https://www.datacenterdynamics.com/en/news/microsoft-files-for-another-virginia-campus-in-mecklenburg-county/,"Microsoft has filed to build another data center campus in Clarksville, Virginia."
Clarksville Data Center Campus,Clarksville,VA,Mecklenburg,36.63564,-78.5181,Proposed,,Microsoft,public_hearing_held,Public comment period deadline,in_progress,"US Army Corps of Engineers, Norfolk District",federal,2022-11-24,day,https://www.datacenterdynamics.com/en/news/microsoft-files-for-another-virginia-campus-in-mecklenburg-county/,The application is open to comments until November 24.
Clayton Commerce III,Ellenwood,GA,Clayton,33.6353,-84.30396,Proposed,180,TA Realty/ EdgeconneX,site_plan_applied,,filed,TA Realty,developer,2024,year,https://www.datacenterdynamics.com/en/news/ta-realty-gets-green-light-for-data-center-outside-atlanta-georgia/,"TA Realty had requested approval for a site plan, height increase, and modifications for a proposed data center at 4350 E Tanners Church Road in Ellenwood"
Clayton Commerce III,Ellenwood,GA,Clayton,33.6353,-84.30396,Proposed,180,TA Realty/ EdgeconneX,rezoning_planning_commission_recommendation,zoning advisory group recommendation with conditions,recommended_approval,Clayton County Zoning Advisory Group,local,2024,year,https://www.datacenterdynamics.com/en/news/ta-realty-gets-green-light-for-data-center-outside-atlanta-georgia/,a zoning advisory group last month also voted for approval with conditions
Clayton Commerce III,Ellenwood,GA,Clayton,33.6353,-84.30396,Proposed,180,TA Realty/ EdgeconneX,public_hearing_held,,n_a,Clayton County Board of Commissioners,local,2024-10,month,https://www.datacenterdynamics.com/en/news/ta-realty-gets-green-light-for-data-center-outside-atlanta-georgia/,"eight residents spoke against the data center during the public hearing before the vote, reportedly concerned about water use, noise, and traffic"
Clayton Commerce III,Ellenwood,GA,Clayton,33.6353,-84.30396,Proposed,180,TA Realty/ EdgeconneX,site_plan_approved,,approved,Clayton County Board of Commissioners,local,2024-10,month,https://www.datacenterdynamics.com/en/news/ta-realty-gets-green-light-for-data-center-outside-atlanta-georgia/,the Clayton County Board of Commissioners voted 3-1 to approve a site plan for a data center at a meeting last week
Clayton Commerce III,Ellenwood,GA,Clayton,33.6353,-84.30396,Proposed,180,TA Realty/ EdgeconneX,project_announced,,n_a,TA Realty / EdgeConneX,developer,2024-07,month,https://www.datacenterdynamics.com/en/news/ta-realty-gets-green-light-for-data-center-outside-atlanta-georgia/,"In July, TA Realty partnered with EdgeConneX to develop a 324MW data center campus in Atlanta."
Clayton Commerce III,Ellenwood,GA,Clayton,33.6353,-84.30396,Proposed,180,TA Realty/ EdgeconneX,other,tax incentive / property tax abatement approved,approved,Development Authority of Clayton County (Invest Clayton),local,2025-06-17,day,https://www.ajc.com/news/2025/06/clayton-county-agency-approves-tax-break-for-1b-data-center/,The Development Authority of Clayton County on Thursday approved an incentive package to a subsidiary of TA Realty for a $959 million data center project along East Tanners Church Road.
CLE1,Cleveland,OH,Cuyahoga,41.42835,-81.574,Operating,4.7,,fully_operational,,n_a,Expedient,developer,2025,year,https://www.expedient.com/data-centers/cleveland/,"CLE1 15166 Neo Pkwy, Cleveland, OH 44128 ... 2.7 MW Critical IT Load ... 42,000 sq. ft. Data Center 24,000 sq. ft. Raised Floor Space"
CLE2,Cleveland,OH,Cuyahoga,41.42939,-81.5739,Operating,2,,fully_operational,,n_a,Expedient,developer,2025,year,https://www.expedient.com/data-centers/cleveland/,"CLE2 15248 NEO Parkway, Cleveland, OH 44128 ... 2.0 MW Critical IT Load 2N UPS Configuration 3.0 MW Total Generator Capacity 24,850 sq. ft. Data Center"
CleanArc Data Center (VA1),Ruther Glen,VA,Caroline,38.01594,-77.4973,Approved/Permitted/Under construction,300-600,CleanArc,rezoning_council_decision,Planning permission / special use permit approval for 650-acre data center campus,approved,Caroline County Board of Supervisors,local,2025-09-18,day,https://www.datacenterdynamics.com/en/news/cleanarc-gets-green-light-for-600mw-data-center-campus-in-caroline-county-virginia/,"The Caroline County board of supervisors has approved the development, on a plot of land near Exit 110 of the Interstate 95 between Ashburn and Richmond."
CleanArc Data Center (VA1),Ruther Glen,VA,Caroline,38.01594,-77.4973,Approved/Permitted/Under construction,300-600,CleanArc,construction_started,,n_a,CleanArc Data Centers,developer,2025-11-21,day,https://www.datacenterdynamics.com/en/news/cleanarc-breaks-ground-on-900mw-data-center-campus-in-virginia/,"CleanArc breaks ground on 900MW data center campus in Virginia... November 21, 2025... The company this week announced the groundbreaking of its flagship 900MW VA1 campus."
CleanArc Data Center (VA1),Ruther Glen,VA,Caroline,38.01594,-77.4973,Approved/Permitted/Under construction,300-600,CleanArc,public_hearing_held,Board of supervisors meeting approving project and economic deal,n_a,Caroline County Board of Supervisors,local,2025-09-18,day,https://www.datacenterdynamics.com/en/news/cleanarc-gets-green-light-for-600mw-data-center-campus-in-caroline-county-virginia/,The Caroline County board of supervisors has approved the development... County officials said CleanArc will effectively receive a tax rebate as a result of the size of the contribution.
CleanArc Data Center (VA1),Ruther Glen,VA,Caroline,38.01594,-77.4973,Approved/Permitted/Under construction,300-600,CleanArc,partial_operational,First 200MW phase planned online Q3 2026,planned,CleanArc Data Centers,developer,2026,year,https://www.datacenterdynamics.com/en/news/cleanarc-gets-green-light-for-600mw-data-center-campus-in-caroline-county-virginia/,CleanArc hopes the site will offer 200MW by Q3 2026 and an additional 300MW by mid-2027.
CleanArc Data Center (VA1),Ruther Glen,VA,Caroline,38.01594,-77.4973,Approved/Permitted/Under construction,300-600,CleanArc,partial_operational,First 300MW phase planned online Q1 2027 per groundbreaking announcement,planned,CleanArc Data Centers,developer,2027,year,https://www.datacenterdynamics.com/en/news/cleanarc-breaks-ground-on-900mw-data-center-campus-in-virginia/,"The first 300MW is due to come online in 1Q 2027, the second 300MW is currently projected for 2030, and another 300MW in the 2033-2035 timeframe."
CleanSpark Data Center,Austin County,TX,Austin,29.884085,-96.219376,Proposed,285,CleanSpark,project_announced,,n_a,CleanSpark,developer,2025-10-30,day,https://www.datacenterdynamics.com/en/news/cleanspark-expands-into-ai-data-center-development-with-270-acre-acquisition-outside-houston-texas/,"This week, the Nasdaq-listed company announced it had acquired the rights to approximately 271 acres of land in Austin County, Texas"
CleanSpark Data Center,Austin County,TX,Austin,29.884085,-96.219376,Proposed,285,CleanSpark,land_purchased,,n_a,CleanSpark,developer,2025-10-30,day,https://www.datacenterdynamics.com/en/news/cleanspark-expands-into-ai-data-center-development-with-270-acre-acquisition-outside-houston-texas/,"CleanSpark has acquired land outside Houston, Texas... acquired the rights to approximately 271 acres of land in Austin County, Texas. The company paid for the site in cash and shares."
CleanSpark Data Center,Austin County,TX,Austin,29.884085,-96.219376,Proposed,285,CleanSpark,power_purchase_agreement_signed,,n_a,CleanSpark,developer,2025-10-30,day,https://www.datacenterdynamics.com/en/news/cleanspark-expands-into-ai-data-center-development-with-270-acre-acquisition-outside-houston-texas/,"executed long-term power supply agreements totaling 285MW to support the development of a data center campus to serve AI, cloud, and enterprise workloads."
CleanSpark Data Center,Austin County,TX,Austin,29.884085,-96.219376,Proposed,285,CleanSpark,other,partial_energization_planned,planned,CleanSpark,developer,2027,year,https://www.datacenterdynamics.com/en/news/cleanspark-expands-into-ai-data-center-development-with-270-acre-acquisition-outside-houston-texas/,"CleanSpark intends to begin site design and development immediately, with energization of more than 200MW expected in the first half of 2027."
CleanSpark Data Center,Brazoria County,TX,Brazoria,29.182318,-95.47511,Proposed,300-600,CleanSpark,project_announced,,n_a,CleanSpark,developer,2026-01-15,day,https://www.datacenterdynamics.com/en/news/cleanspark-acquires-447-acres-for-second-texas-ai-data-center-site/,"CleanSpark is set to acquire 447 acres in Brazoria County, Texas, to develop a large-scale data center project designed for artificial intelligence and high-performance computing (HPC) workloads."
CleanSpark Data Center,Brazoria County,TX,Brazoria,29.182318,-95.47511,Proposed,300-600,CleanSpark,land_purchased,"Acquisition expected to close Q1 2026; 447 acres in Brazoria County, TX",planned,CleanSpark,developer,2026-01,month,https://www.datacenterdynamics.com/en/news/cleanspark-acquires-447-acres-for-second-texas-ai-data-center-site/,"CleanSpark is set to acquire 447 acres in Brazoria County, Texas... The deal is expected to close in the first quarter of 2026."
CleanSpark Data Center,Brazoria County,TX,Brazoria,29.182318,-95.47511,Proposed,300-600,CleanSpark,other,Long-term transmission facilities extension agreement obtained as part of land acquisition,approved,CleanSpark,developer,2026-01-15,day,https://www.datacenterdynamics.com/en/news/cleanspark-acquires-447-acres-for-second-texas-ai-data-center-site/,"As part of acquisition, CleanSpark will obtain a long-term transmission facilities extension agreement."
Cloud Centers Data Center,Lisle,IL,DuPage,41.801693,-88.06276,Proposed,50,Cloud Centers,special_use_permit_applied,,filed,Cloud Centers,developer,2026-01,month,https://www.datacenterdynamics.com/en/news/public-meeting-over-planned-data-center-project-in-lisle-illinois-postponed-due-to-large-number-of-attendees/,Cloud Centers has requested approval of a special use permit for the development and operation of an approximately 50MW colocation data center.
Cloud Centers Data Center,Lisle,IL,DuPage,41.801693,-88.06276,Proposed,50,Cloud Centers,public_hearing_held,Planning and zoning commission public hearing postponed due to overflow attendance (300+ attendees); to be reconvened at larger venue,halted,Village of Lisle Planning and Zoning Commission,local,2026-01,month,https://www.datacenterdynamics.com/en/news/public-meeting-over-planned-data-center-project-in-lisle-illinois-postponed-due-to-large-number-of-attendees/,"A public meeting about a proposed data center project outside Chicago, Illinois, was postponed after too many people showed up... exceeding the 250-person capacity."
Cloud Centers Data Center,Lisle,IL,DuPage,41.801693,-88.06276,Proposed,50,Cloud Centers,construction_started,Planned construction start Q3 2026,planned,Cloud Centers,developer,2026,year,https://www.datacenterdynamics.com/en/news/public-meeting-over-planned-data-center-project-in-lisle-illinois-postponed-due-to-large-number-of-attendees/,"Construction on the two-story, 256,000 sq ft (23,785 sqm) facility could start by Q3 2026, with the site launching by the end of 2027."
Cloud Centers Data Center,Lisle,IL,DuPage,41.801693,-88.06276,Proposed,50,Cloud Centers,fully_operational,Planned site launch by end of 2027,planned,Cloud Centers,developer,2027,year,https://www.datacenterdynamics.com/en/news/public-meeting-over-planned-data-center-project-in-lisle-illinois-postponed-due-to-large-number-of-attendees/,"Construction on the two-story, 256,000 sq ft (23,785 sqm) facility could start by Q3 2026, with the site launching by the end of 2027."
CLOUD HQ LC3,Ashburn,VA,Loudoun,39.011154,-77.45961,Operating,,LOHRASP VENTURES LLC,fully_operational,Operating status per FracTracker; no specific operational date available in sources,n_a,LOHRASP VENTURES LLC,developer,<UNKNOWN>,year,other_info,Computer Center
CloudBurst Data Center,New Braunfels,TX,Hays,29.76201,-97.9909,Proposed,1200,,project_announced,,n_a,CloudBurst Data Centers,developer,2025-02,month,https://www.yahoo.com/news/hays-county-says-ai-data-231555198.html,CloudBurst Data Centers announced plans to build the AI data center in February.
CloudBurst Data Center,New Braunfels,TX,Hays,29.76201,-97.9909,Proposed,1200,,air_permit_applied,flood hazard permit application under review,filed,CloudBurst Data Centers,developer,2025,year,https://www.yahoo.com/news/hays-county-says-ai-data-231555198.html,Hays County is currently reviewing CloudBurst's flood hazard permit application.
CloudBurst Data Center,New Braunfels,TX,Hays,29.76201,-97.9909,Proposed,1200,,public_hearing_held,,n_a,Hays County Commissioners Court,local,2025-05,month,https://www.kut.org/energy-environment/2025-06-04/hays-county-texas-data-center-ai,Hays County officials organized a public workshop last month for residents to get answers from CloudBurst representatives.
CloudBurst Data Center,New Braunfels,TX,Hays,29.76201,-97.9909,Proposed,1200,,power_purchase_agreement_signed,natural gas supply contract with Energy Transfer,approved,CloudBurst Data Centers,developer,2025,year,https://www.kut.org/energy-environment/2025-06-04/hays-county-texas-data-center-ai,"When CloudBurst first launched, it pledged to design environmentally friendly facilities... Then, it signed a contract with Energy Transfer to power this new data center with natural gas."
CloudHQ,Culpeper,VA,Culpeper,38.46164,-77.977615,Proposed,,CloudHQ,project_announced,Project status listed as Proposed; no announcement date available in sources,planned,CloudHQ,developer,<UNKNOWN>,year,other_info,"Project covers more than one parcel, the acreage represents the combined acreage"
Cloverleaf Data Center,Greenleaf,WI,Brown,44.32815,-88.110405,Cancelled,,,project_announced,,n_a,Cloverleaf Infrastructure,developer,2026-01,month,https://spectrumnews1.com/wi/milwaukee/news/2026/01/13/data-center-withdraws-plans-to-build-in-brown-county-following-community-pushback-greenleaf-,she learned that Cloverleaf Infrastructure wanted to build a 600-acre facility directly across from her business.
Cloverleaf Data Center,Greenleaf,WI,Brown,44.32815,-88.110405,Cancelled,,,public_hearing_held,,n_a,Moms Clean Air Force / Community Residents,other,2026-01-13,day,https://spectrumnews1.com/wi/milwaukee/news/2026/01/13/data-center-withdraws-plans-to-build-in-brown-county-following-community-pushback-greenleaf-,"Monday, Brown County resident and field organizer for the group Moms Clean Air Force, Jayne Black, helped organize a Stop the Data Center meeting. Nearly 100 people attended."
Cloverleaf Data Center,Greenleaf,WI,Brown,44.32815,-88.110405,Cancelled,,,project_withdrawn,,withdrawn,Cloverleaf Infrastructure,developer,2026-01-13,day,https://spectrumnews1.com/wi/milwaukee/news/2026/01/13/data-center-withdraws-plans-to-build-in-brown-county-following-community-pushback-greenleaf-,"Following that meeting, Cloverleaf Infrastructure withdrew its plan to build in the Village of Greenleaf."
Cloverleaf Data Center,Greenleaf,WI,Brown,44.32815,-88.110405,Cancelled,,,land_purchased,land acquisition offers made to residents — purchase not confirmed completed,n_a,Cloverleaf Infrastructure,developer,2026,year,other_info,"Residents reported being offered up to $120,000 per acre for farmland before the project was cancelled."
Cloverleaf Infrastructure Data Center,Dundee,MI,Monroe,41.997276,-83.66742,Suspended,,,other,pre-development agreement retracted by developer,withdrawn,Cloverleaf Infrastructure,developer,2025-10-08,day,https://www.datacenterdynamics.com/en/news/cloverleaf-drops-initial-plans-for-michigan-data-center-council-votes-to-block-water-supply/,"Cloverleaf Infrastructure has retracted its pre-development agreement for a data center in Dundee Township, Michigan."
Cloverleaf Infrastructure Data Center,Dundee,MI,Monroe,41.997276,-83.66742,Suspended,,,public_hearing_held,,n_a,Dundee Village Council,local,2025-10-08,day,https://www.datacenterdynamics.com/en/news/cloverleaf-drops-initial-plans-for-michigan-data-center-council-votes-to-block-water-supply/,"At a meeting this week in the Dundee Village office, dozens turned up to protest the project."
Cloverleaf Infrastructure Data Center,Dundee,MI,Monroe,41.997276,-83.66742,Suspended,,,other,council voted to deny water supply to data center,denied,Dundee Village Council,local,2025-10-08,day,https://www.datacenterdynamics.com/en/news/cloverleaf-drops-initial-plans-for-michigan-data-center-council-votes-to-block-water-supply/,"At the meeting, the council voted for no involvement with the data center. ""They needed water from us and everything from Monroe [County], we're just going to say no now."""
Cloverleaf Infrastructure Data Center,Dundee,MI,Monroe,41.997276,-83.66742,Suspended,,,project_suspended,,halted,Cloverleaf Infrastructure,developer,2025-10-08,day,https://www.datacenterdynamics.com/en/news/cloverleaf-drops-initial-plans-for-michigan-data-center-council-votes-to-block-water-supply/,"Dundee data center faces uncertain future... DCD has contacted the company for more details on what went wrong, and whether there are plans for the project to be picked up in the future."
CLT10 Data Center,Charlotte,NC,Mecklenburg,35.2219,-80.8356,Operating,2,,fully_operational,,n_a,Digital Realty,developer,2025,year,https://www.datacenterdynamics.com/en/news/digital-realty-files-to-develop-400mw-data-center-campus-in-charlotte-north-carolina/,"The company currently operates a site in Charlotte, at 113 North Myers and known as CLT10; the three-story, 29,200 sq ft (2,715 sqm) facility offers around 2MW."
CLT10 Data Center,Charlotte,NC,Mecklenburg,35.2219,-80.8356,Operating,2,,land_purchased,Land acquisition adjacent to CLT10 for 12MW expansion,n_a,Digital Realty,developer,2025,year,https://www.datacenterdynamics.com/en/news/digital-realty-files-to-develop-400mw-data-center-campus-in-charlotte-north-carolina/,"Digital Realty acquired two parcels at 712 E 5th St & 725 E Trade St, adjacent to its existing data center in Charlotte, for approximately $16 million, which the company said will enable a 12MW expansion at the site."
CMH1,Upper Arlington,OH,Franklin,40.05789,-83.0785,Operating,1.6,,fully_operational,Facility listed as operational on operator website; no date provided,n_a,Expedient,developer,<UNKNOWN>,year,https://www.expedient.com/data-centers/columbus/,"CMH1 5000 Arlington Centre Blvd Building One, Arlington Centre Blvd, Upper Arlington, OH 43220"
CMH2,Dublin,OH,Franklin,40.09205,-83.1436,Operating,4.8,,fully_operational,,n_a,Expedient,developer,<UNKNOWN>,year,https://www.expedient.com/data-centers/columbus/,"CMH2 5700 Innovation Drive, Dublin, OH 43016 ... 4.8 MW Critical IT Load 2N UPS Configuration 6.0 MW Total Generator Capacity"
CMH3,Lewis Center,OH,Delaware,40.15455,-83.0143,Operating,7,,fully_operational,,n_a,Expedient,developer,<UNKNOWN>,year,https://www.expedient.com/data-centers/columbus/,"CMH3 281 E. Powell Road, Lewis Center, Ohio 43035 ... 7 MW Critical IT Load 2N UPS Configuration 10 MW Total Generator Capacity 102,000 sq. ft. Data Center"
CODA at Tech Sq (GA Tech High Performance Computing Center),Atlanta,GA,Fulton,33.77551,-84.38868,Operating,13.94999981,Georgia Tech Foundation,state_environmental_review_initiated,DRI Initial Information Form Submitted,filed,Georgia Department of Community Affairs (DCA) / Atlanta Regional Commission,state,2016-03-29,day,https://apps.dca.ga.gov/DRI/AppSummary.aspx?driid=2569,Initial DRI Information Form Submitted: 3/29/2016
CODA at Tech Sq (GA Tech High Performance Computing Center),Atlanta,GA,Fulton,33.77551,-84.38868,Operating,13.94999981,Georgia Tech Foundation,other,DRI Determination — Warrants Regional Review,in_progress,Georgia Department of Community Affairs (DCA),state,2016-03-28,day,https://apps.dca.ga.gov/DRI/AppSummary.aspx?driid=2569,DRI Determination: 3/28/2016 Warrants regional review
CODA at Tech Sq (GA Tech High Performance Computing Center),Atlanta,GA,Fulton,33.77551,-84.38868,Operating,13.94999981,Georgia Tech Foundation,other,DRI Additional Information Form Submitted,filed,"Portman Holdings, LLC",developer,2016-05-31,day,https://apps.dca.ga.gov/DRI/AppSummary.aspx?driid=2569,Additional DRI Information Form Submitted: 5/31/2016
