facility_name,city,state,county,lat,long,status,mw,operator_name,n_llm_events,earliest_llm_event_date,latest_llm_event_date,llm_event_types,timeline_summary
Project Pilot,DeSoto,KS,Johnson,38.94633,-95.02935,Proposed,,Beale Infrastructure,4,2025-08,2026-01-13,land_purchased|other|project_announced|site_plan_approved,2025-08(month): site_plan_approved=approved by City of De Soto; 2025-08(month): other=approved by City of De Soto; 2025-09(month): land_purchased=n_a by Pilot KC Holdings LLC (Beale Infrastructure); 2026-01-13(day): project_announced=n_a by Beale Infrastructure
"Mount Sunflower Properties, LLC Data Center",DeSoto,KS,Johnson,38.94522,-95.0297,Proposed,,,6,2025-08-19,2027,construction_started|other|project_announced|public_hearing_held,"2025-08-19(day): project_announced=n_a by Mount Sunflower Properties, LLC / Beale Infrastructure; 2025-08-21(day): public_hearing_held=n_a by De Soto City Council; 2025-08-21(day): other=approved by De Soto City Council; 2025-08-21(day): other=approved by De Soto City Council; 2025-08-21(day): other=approved by De Soto City Council; 2027(year): construction_started=planned by Mount Sunflower Properties, LLC / Beale Infrastructure"
Red Wolf Properties,Kansas City,KS,Wyandotte,39.12852,-94.8801,Proposed,600,,10,2025,2025-10-29,court_ruling|lawsuit_filed|other|project_announced|project_suspended|public_hearing_held|rezoning_applied|rezoning_council_decision|rezoning_planning_commission_recommendation,2025(year): lawsuit_filed=filed by Neal Palmer and Haskell Farms LLC; 2025-04(month): rezoning_applied=filed by Red Wolf DCD Properties LLC; 2025-04-04(day): project_announced=n_a by Red Wolf DCD Properties LLC; 2025-05(month): rezoning_planning_commission_recommendation=recommended_approval by Wyandotte County Planning Commission; 2025-05(month): rezoning_council_decision=approved by Unified Government of Wyandotte County; 2025-05-28(day): public_hearing_held=n_a by Unified Government of Wyandotte County; 2025-06-26(day): rezoning_council_decision=approved by Unified Government of Wyandotte County; 2025-07-31(day): other=denied by Wyandotte County Planning and Zoning Commission; 2025-10-29(day): court_ruling=denied by Wyandotte County District Court; 2025-10-29(day): project_suspended=halted by Wyandotte County District Court
Ekron Data Center,Ekron,KY,Meade,37.90755,-86.10922,Cancelled,,,6,2025-10,2025-10-20,other|project_cancelled|public_hearing_held|rezoning_applied|rezoning_council_decision|rezoning_planning_commission_recommendation,2025-10(month): rezoning_applied=filed by Unknown Developer; 2025-10(month): rezoning_planning_commission_recommendation=recommended_denial by Meade County Planning and Zoning Commission; 2025-10(month): public_hearing_held=n_a by Meade County Fiscal Court; 2025-10(month): other=n_a by Local Community; 2025-10-20(day): rezoning_council_decision=denied by Meade County Fiscal Court; 2025-10-20(day): project_cancelled=halted by Unknown Developer
TeraWulf probable Data Center,Hawesville,KY,Hancock,37.941345,-86.78807,Proposed,480,TeraWulf,2,2026-02-02,2026-02-02,land_purchased|project_announced,2026-02-02(day): project_announced=n_a by TeraWulf Inc.; 2026-02-02(day): land_purchased=approved by TeraWulf Inc.
Project Lincoln: OC Data Center (first version),La Grange,KY,Oldham,38.444557,-85.397995,Cancelled,600,,5,2025-03,2025-11-28,moratorium_enacted|moratorium_expired|project_announced|project_cancelled|project_withdrawn,2025-03(month): project_announced=n_a by Western Hospitality Partners; 2025-06(month): project_withdrawn=withdrawn by Western Hospitality Partners; 2025-06(month): project_cancelled=withdrawn by Western Hospitality Partners; 2025-07-01(day): moratorium_enacted=approved by Oldham County Fiscal Court; 2025-11-28(day): moratorium_expired=planned by Oldham County Fiscal Court
Project Lincoln: OC Data Center (second version),La Grange,KY,Oldham,38.39444,-85.4094,Proposed,,WHP,9,2025-03,2025-11-28,conditional_use_permit_applied|moratorium_enacted|moratorium_expired|project_announced|project_cancelled|public_hearing_held,2025-03(month): project_announced=n_a by Western Hospitality Partners; 2025-03(month): conditional_use_permit_applied=filed by Western Hospitality Partners; 2025-05-15(day): public_hearing_held=n_a by Oldham County Board of Adjustments; 2025-05-21(day): public_hearing_held=n_a by Oldham County Technical Review Committee; 2025-06(month): conditional_use_permit_applied=withdrawn by Western Hospitality Partners; 2025-06-02(day): conditional_use_permit_applied=filed by Western Hospitality Partners; 2025-07(month): project_cancelled=withdrawn by Western Hospitality Partners; 2025-07-01(day): moratorium_enacted=approved by Oldham County Fiscal Court; 2025-11-28(day): moratorium_expired=n_a by Oldham County Fiscal Court
Lexington Data center,Lexington,KY,Fayette,38.04255,-84.4997,Operating,,,0,,,,
PowerHouse Data Centers,Louisville,KY,Jefferson,38.19817,-85.8509,Approved/Permitted/Under construction,130,,7,2025,2026-10,construction_started|other|partial_operational|project_announced|public_hearing_held|rezoning_planning_commission_recommendation|site_plan_approved,2025(year): public_hearing_held=n_a by Louisville Metro Development Review Committee; 2025(year): site_plan_approved=approved by Louisville Metro Development Review Committee; 2025(year): construction_started=planned by PowerHouse Data Centers / Poe Companies; 2025-01(month): project_announced=n_a by PowerHouse Data Centers / Poe Companies; 2026-03(month): rezoning_planning_commission_recommendation=recommended_approval by Louisville Planning Commission; 2026-09(month): other=planned by Louisville Gas and Electric (LG&E); 2026-10(month): partial_operational=planned by PowerHouse Data Centers / Poe Companies
Project Sophie (Soluna),Murray,KY,Calloway,36.61113,-88.3167,Operating,25,,1,2021,2021,fully_operational,2021(year): fully_operational=n_a by Soluna
Riot,Paducah,KY,McCracken,37.08831,-88.70305,Expanding,,Riot,4,2024,2024-07,fully_operational|other|project_announced,
Riot ,Paducah,KY,McCracken,37.088593,-88.676155,Expanding,60,Riot,4,2024,2024-07,fully_operational|other|project_announced,2024(year): other=planned by Riot Platforms; 2024(year): project_announced=planned by Riot Platforms; 2024-07(month): other=approved by Riot Platforms; 2024-07(month): fully_operational=n_a by Riot Platforms
State Line Project Data Center campus,Blanchard,LA,Caddo,32.656498,-93.904144,Proposed,,TXLAAR LLC,4,2025-12,2026-02,land_purchased|project_announced|water_permit_applied,2025-12(month): water_permit_applied=approved by Town of Blanchard; 2026-01-17(day): project_announced=planned by TXLAAR LLC; 2026-01-17(day): land_purchased=in_progress by TXLAAR LLC; 2026-02(month): project_announced=planned by Jim Galambos (Mayor of Blanchard)
TXLAAR LLC Data Center,Bossier Parish,LA,Bossier,32.725018,-93.72789,Proposed,,TXLAAR LLC,4,2025-12,2026-01-17,land_purchased|other|project_announced|water_permit_applied,2025-12(month): water_permit_applied=approved by Town of Blanchard; 2026-01-17(day): project_announced=planned by TXLAAR LLC; 2026-01-17(day): land_purchased=in_progress by TXLAAR LLC; 2026-01-17(day): other=planned by Jim Galambos (Mayor of Blanchard)
Meta RPL-10X Hyperion/Project Sucre,Rayville,LA,Richland,32.50788,-91.6349,Expanding,"1,500-2,200",Meta,14,2024-11,2025-12-01,construction_started|interconnection_request_filed|land_purchased|lawsuit_filed|other|power_purchase_agreement_signed|project_announced,2024-11(month): interconnection_request_filed=filed by Entergy Louisiana; 2024-12(month): construction_started=n_a by Meta; 2024-12-04(day): project_announced=n_a by Meta; 2024-12-05(day): project_announced=n_a by Meta; 2024-12-05(day): land_purchased=n_a by Meta; 2024-12-05(day): power_purchase_agreement_signed=n_a by Meta; 2025(year): lawsuit_filed=filed by Environmental groups; 2025(year): land_purchased=n_a by Meta; 2025-06(month): other=n_a by Entergy Louisiana; 2025-08(month): other=recommended_approval by Louisiana Public Service Commission; 2025-08-20(day): other=approved by Louisiana Public Service Commission; 2025-08-20(day): other=approved by Louisiana Public Service Commission; 2025-10(month): other=n_a by Meta; 2025-12-01(day): other=n_a by Entergy Louisiana
DartPoints Data Center,Shreveport,LA,Caddo,32.51101,-93.7498,Operating,,,1,2025,2025,fully_operational,2025(year): fully_operational=n_a by DartPoints
Data center,Shreveport,LA,Caddo,32.45425,-93.9052,Proposed,,,0,,,,
River Bend Campus,St. Francisville,LA,East Feliciana,30.751701,-91.27455,Approved/Permitted/Under construction,300,Hut 8,8,2024,2027,construction_started|fully_operational|land_purchased|other|project_announced,2024(year): project_announced=n_a by Hut 8; 2025-01(month): other=approved by West Feliciana Parish; 2025-02(month): land_purchased=n_a by Hut 8; 2025-03-18(day): land_purchased=n_a by Hut 8; 2025-08(month): construction_started=n_a by Hut 8; 2025-10(month): other=approved by West Feliciana Parish Council; 2025-10-29(day): other=approved by West Feliciana Parish Industrial Development Board; 2027(year): fully_operational=planned by Hut 8
River Bend Data Center Campus,St. Francisville,LA,West Feliciana,30.764305,-91.337296,Proposed,245,"Fluidstack, Anthropic, Google",6,2024,2027,land_purchased|other|partial_operational|power_purchase_agreement_signed|project_announced,2024(year): project_announced=n_a by Hut 8; 2025-01(month): other=approved by West Feliciana Parish local officials; 2025-03(month): land_purchased=n_a by Hut 8; 2025-12-17(day): power_purchase_agreement_signed=n_a by Hut 8 / Fluidstack; 2025-12-17(day): other=n_a by Hut 8 / Anthropic / Fluidstack; 2027(year): partial_operational=planned by Hut 8
Markely Data Center,Boston,MA,Suffolk,42.354603,-71.05991,Operating,30,,1,2026,2026,fully_operational,2026(year): fully_operational=n_a by Markley Group
Data center,Everett,MA,Middlesex,42.39638,-71.05932,Proposed,,,3,2026-01,2026-01-12,other|project_announced|public_hearing_held,2026-01(month): project_announced=in_progress by The Davis Companies; 2026-01-12(day): public_hearing_held=n_a by Everett City Council; 2026-01-12(day): other=in_progress by Everett City Council
Markely Data Center,Lowell,MA,Middlesex,42.6302,-71.304825,Expanding,,,5,2024-09,2025-06-25,other|public_hearing_held|site_plan_applied,2024-09(month): site_plan_applied=filed by Markley Group; 2024-09-19(day): public_hearing_held=in_progress by Lowell Planning Board; 2024-10-21(day): public_hearing_held=in_progress by Lowell Planning Board; 2025(year): other=in_progress by City of Lowell; 2025-06-25(day): other=approved by Lowell City Council
Medford,Medford,MA,Middlesex,42.40601,-71.0752,Operating,3.2,,1,2025,2025,fully_operational,2025(year): fully_operational=n_a by Expedient
Servistar Data Center,Westfield,MA,Hampden,42.15831,-72.74108,Proposed,300,,11,2021,2025-12-30,interconnection_request_filed|other|project_announced|project_cancelled|public_hearing_held|special_use_permit_applied|special_use_permit_decision|state_environmental_review_initiated,2021(year): special_use_permit_applied=filed by Servistar Realties; 2021(year): public_hearing_held=n_a by Westfield City Council and Planning Board; 2021(year): other=approved by Westfield City Council; 2021-05(month): project_announced=n_a by Servistar Realties; 2021-10(month): special_use_permit_decision=approved by City of Westfield; 2022-01(month): state_environmental_review_initiated=planned by Servistar Realties; 2022-02(month): interconnection_request_filed=withdrawn by Servistar Realties; 2024(year): other=approved by Commonwealth of Massachusetts; 2024(year): other=n_a by Massachusetts Secretary of the Commonwealth; 2025-08-22(day): other=in_progress by Massachusetts Executive Office of Economic Development; 2025-12-30(day): project_cancelled=withdrawn by Servistar Realties
Tidepoint,Baltimore,MD,Baltimore,39.27421,-76.5911,Operating,1.5,,1,2025,2025,fully_operational,2025(year): fully_operational=n_a by Expedient
Mag Partners Data Centers,Baltimore Peninsula/ Port Covington,MD,Baltimore,39.26509,-76.6127,Proposed,,,2,2025-08-07,2025-08-07,other|project_announced,2025-08-07(day): project_announced=planned by Mag Partners; 2025-08-07(day): other=in_progress by Baltimore Gas and Electric (BGE)
Quantum Frederick,Frederick,MD,Frederick,39.3343,-77.4679,Proposed,"264-2,400",,7,2021,2025-09,construction_started|land_purchased|other|project_announced|rezoning_planning_commission_recommendation|site_plan_applied,2021(year): other=n_a by Alcoa (Eastalco Works); 2021-06-23(day): land_purchased=approved by Quantum Loophole / TPG Real Estate Partners; 2021-06-28(day): project_announced=n_a by Quantum Loophole / TPG Real Estate Partners; 2025-02(month): construction_started=n_a by Aligned; 2025-05-23(day): site_plan_applied=filed by Aligned; 2025-05-23(day): rezoning_planning_commission_recommendation=recommended_approval by Frederick County Planning Commission; 2025-09(month): other=n_a by Maryland Data Centers Analysis Group (MDCAG)
Brightseat Tech Park Data Center,Hyattsville,MD,Prince George's,38.91977,-76.8565,Suspended,820,,6,2024-10,2025-09-16,moratorium_enacted|other|project_announced|project_suspended|public_hearing_held,2024-10(month): project_announced=n_a by Lerner Enterprises; 2025-09-10(day): public_hearing_held=n_a by Prince George's County Qualified Data Center Task Force; 2025-09-10(day): other=n_a by Community residents / Party for Socialism and Liberation; 2025-09-15(day): moratorium_enacted=approved by Prince George's County Executive Aisha Braveboy; 2025-09-15(day): project_suspended=halted by Prince George's County; 2025-09-16(day): moratorium_enacted=approved by Prince George's County Council
TeraWulf probable Data Center,Newburg,MD,Charles,38.365482,-76.96935,Proposed,"500-1,000",TeraWulf,3,2026-02-02,2026-02-02,land_purchased|other|project_announced,2026-02-02(day): project_announced=n_a by TeraWulf Inc.; 2026-02-02(day): land_purchased=n_a by TeraWulf Inc.; 2026-02-02(day): other=in_progress by Federal Energy Regulatory Commission (FERC)
BWI1,Owings Mills,MD,Baltimore,39.42716,-76.8118,Operating,0.8,,1,<UNKNOWN>,<UNKNOWN>,fully_operational,<UNKNOWN>(year): fully_operational=n_a by Expedient
Prosperity Drive Data Center,Silver Spring,MD,Montgomery,39.05859,-76.9644,Operating,5-100,,5,2009,2025-08-18,fully_operational|land_purchased|other,2009(year): other=n_a by unknown; 2011(year): land_purchased=approved by Citi; 2019(year): land_purchased=approved by Lincoln Property Co. / Lincoln Rackhouse; 2025-08-18(day): land_purchased=approved by Sansone Group; 2025-08-18(day): fully_operational=n_a by Priseda
Security Land and Development LLC Data Center,Woodlawn,MD,Baltimore,39.319317,-76.74747,Proposed,150,,5,2025-04,2026,building_permit_applied|construction_started|project_announced|public_hearing_held,2025-04(month): building_permit_applied=filed by Security Land and Development LP; 2025-06(month): building_permit_applied=filed by Security Land and Development LP; 2025-12-10(day): project_announced=planned by Security Land and Development LP; 2025-12-10(day): public_hearing_held=in_progress by Baltimore County; 2026(year): construction_started=planned by Security Land and Development LP
Tier III AI Data Center,Lewiston,ME,Androscoggin,44.094273,-70.21859,Cancelled,,MillCompute LLC,4,2025-12-15,2025-12-16,project_announced|project_cancelled|public_hearing_held|rezoning_council_decision,2025-12-15(day): project_announced=n_a by MillCompute LLC; 2025-12-16(day): public_hearing_held=n_a by Lewiston City Council; 2025-12-16(day): rezoning_council_decision=denied by Lewiston City Council; 2025-12-16(day): project_cancelled=halted by Lewiston City Council
Data center at former Maine Yankee nuclear power plant,Wicasset,ME,Lincoln,43.95572,-69.69428,Proposed,,,3,2025-09,2025-10-07,other|project_announced|public_hearing_held,2025-09(month): project_announced=planned by Wiscasset Selectboard; 2025-10(month): other=approved by Wiscasset Selectboard; 2025-10-07(day): public_hearing_held=n_a by Wiscasset Selectboard
Solstice Data Center,Allen Park,MI,Wayne,42.268654,-83.208176,Suspended,26,Solstice,7,2025-11-06,2026-01-08,project_announced|project_suspended|public_hearing_held|site_plan_applied,2025-11-06(day): public_hearing_held=n_a by Allen Park Planning Commission; 2025-11-06(day): public_hearing_held=n_a by Allen Park Planning Commission; 2025-12(month): site_plan_applied=filed by Solstice Data; 2025-12-08(day): project_announced=n_a by Solstice Data; 2026-01-08(day): public_hearing_held=in_progress by Allen Park Planning Commission; 2026-01-08(day): site_plan_applied=in_progress by Allen Park Planning Commission; 2026-01-08(day): project_suspended=halted by Allen Park Planning Commission
Thor Equities Data Center,Augusta Township,MI,Washtenaw,42.091705,-83.63743,Proposed,,,6,2025-05-28,2026-05,other|public_hearing_held|rezoning_applied|rezoning_council_decision|rezoning_planning_commission_recommendation,2025-05-28(day): rezoning_applied=filed by JDS Equities II LLC (Thor Equities affiliate); 2025-05-28(day): public_hearing_held=n_a by Augusta Township Planning Commission; 2025-06(month): rezoning_planning_commission_recommendation=recommended_denial by Augusta Township Planning Commission; 2025-07(month): rezoning_council_decision=approved by Augusta Township Board of Trustees; 2025-08(month): other=filed by Protect Augusta Charter Township (PACT); 2026-05(month): other=planned by Augusta Township
US Signal Data Center,Belleville,MI,Wayne,42.23536,-83.4441,Expanding,1.5,,7,2018,2025-12,construction_started|fully_operational|other|project_announced|site_plan_applied|site_plan_approved|special_use_permit_decision,2018(year): construction_started=n_a by US Signal; 2019-05(month): special_use_permit_decision=approved by Van Buren Township Planning Commission; 2020-03(month): fully_operational=n_a by US Signal; 2025-06-08(day): project_announced=n_a by US Signal; 2025-06-08(day): other=planned by US Signal; 2025-12(month): site_plan_applied=filed by US Signal Properties LLC; 2025-12(month): site_plan_approved=recommended_approval by Van Buren Township City Staff
Switch Pyramid Data Center,Caledonia,MI,Kent,42.852547,-85.560104,Approved/Permitted/Under construction,320,Switch,7,2017,2025,construction_started|land_purchased|other|partial_operational|project_announced,2017(year): land_purchased=n_a by Switch; 2017(year): project_announced=n_a by Switch; 2021(year): other=approved by Gaines Township; 2022(year): construction_started=n_a by Switch; 2024-11-06(day): project_announced=planned by Switch; 2024-11-06(day): construction_started=planned by Switch; 2025(year): partial_operational=n_a by Switch
"Hyperscale Data, Inc.",Dowagiac,MI,Cass,41.992455,-86.098976,Operating,30-340,,7,2022-05,2026-03-31,construction_started|fully_operational|land_purchased|other|project_announced,2022-05(month): land_purchased=approved by Hyperscale Data Inc. / Alliance Cloud Services; 2025(year): fully_operational=n_a by Hyperscale Data Inc.; 2025-02(month): project_announced=planned by Hyperscale Data Inc.; 2025-03(month): construction_started=n_a by Hyperscale Data Inc.; 2026-03-31(day): land_purchased=in_progress by Hyperscale Data Inc. / Alliance Cloud Services; 2026-03-31(day): project_announced=planned by Hyperscale Data Inc.; 2026-03-31(day): other=filed by Hyperscale Data Inc.
Cloverleaf Infrastructure Data Center,Dundee,MI,Monroe,41.997276,-83.66742,Suspended,,,4,2025-10-08,2025-10-08,other|project_suspended|public_hearing_held,2025-10-08(day): other=withdrawn by Cloverleaf Infrastructure; 2025-10-08(day): public_hearing_held=n_a by Dundee Village Council; 2025-10-08(day): other=denied by Dundee Village Council; 2025-10-08(day): project_suspended=halted by Cloverleaf Infrastructure
Southfield Data Center,Farmington Hills,MI,Oakland,42.488056,-83.31892,Proposed,100,Metrobloks,5,2025-11,2025-12,project_announced|public_hearing_held|site_plan_applied|site_plan_approved,2025-11(month): project_announced=n_a by Metrobloks; 2025-11(month): public_hearing_held=n_a by Southfield City Council; 2025-11(month): site_plan_applied=filed by Metrobloks; 2025-12(month): public_hearing_held=n_a by Southfield City Council; 2025-12(month): site_plan_approved=approved by Southfield City Council
Howell Data Center,Fowlerville,MI,Livingston,42.655422,-84.02875,Cancelled,,Santec Consulting,11,2025-09,2025-12-08,moratorium_enacted|other|project_withdrawn|public_hearing_held|rezoning_applied|rezoning_planning_commission_recommendation,"2025-09(month): rezoning_applied=filed by Stantec Consulting Michigan Inc. and Randee LLC; 2025-09-23(day): public_hearing_held=n_a by Howell Township Planning Commission; 2025-09-23(day): rezoning_planning_commission_recommendation=recommended_denial by Howell Township Planning Commission; 2025-10(month): rezoning_applied=withdrawn by Stantec Consulting Michigan Inc. and Randee LLC; 2025-10-29(day): other=n_a by Van Gilder Family; 2025-11-19(day): rezoning_planning_commission_recommendation=recommended_denial by Livingston County Planning Commission; 2025-11-20(day): moratorium_enacted=approved by Howell Township Board of Trustees; 2025-11-20(day): moratorium_enacted=n_a by other_info; 2025-11-21(day): other=n_a by Bob Wilson, Howell Township Board of Trustees; 2025-12-07(day): rezoning_applied=withdrawn by Stantec Consulting Michigan Inc. and Randee LLC; 2025-12-08(day): project_withdrawn=withdrawn by Stantec Consulting Michigan Inc. and Randee LLC"
Microsoft Data Center,Grand Rapids,MI,Kent,42.85125,-85.54604,Proposed,,Microsoft,4,2024-10,2025-12-18,land_purchased|project_announced|public_hearing_held|rezoning_applied,2024-10(month): land_purchased=n_a by Microsoft; 2025-12-15(day): project_announced=n_a by Microsoft; 2025-12-15(day): rezoning_applied=filed by Microsoft; 2025-12-18(day): public_hearing_held=planned by Gaines Township
Kalamazoo County Data Center,Kalamazoo,MI,Kalamazoo,42.243793,-85.51012,Suspended,,,5,2025,2025-10-30,other|project_announced|project_suspended|public_hearing_held,2025(year): project_announced=n_a by Franklin Partners LLC; 2025(year): public_hearing_held=n_a by Pavilion Township; 2025-10-27(day): project_suspended=halted by Franklin Partners LLC; 2025-10-30(day): other=n_a by Pavilion Township; 2025-10-30(day): other=n_a by Don Shoemaker / Franklin Partners LLC
Rocklocker LLC,Kalkaska Township,MI,Kalkaska,44.728703,-85.21632,Cancelled,1000,,5,2025,2025-11-19,other|project_announced|project_withdrawn|public_hearing_held,2025(year): other=denied by Michigan Department of Natural Resources; 2025-11(month): project_announced=n_a by Rocklocker LLC; 2025-11(month): project_withdrawn=withdrawn by Rocklocker LLC; 2025-11-17(day): public_hearing_held=n_a by Rocklocker LLC; 2025-11-19(day): public_hearing_held=n_a by Rocklocker LLC
Deep Green Data Center,Lansing,MI,Ingham,42.731003,-84.545654,Cancelled,24,Deep Green,9,2025-11-03,2026-04-07,other|project_announced|project_withdrawn|public_hearing_held|rezoning_applied|rezoning_planning_commission_recommendation,2025-11-03(day): project_announced=n_a by Deep Green; 2025-11-05(day): rezoning_applied=filed by Deep Green; 2025-11-05(day): public_hearing_held=n_a by Lansing Planning Commission; 2025-11-05(day): other=recommended_approval by Lansing Zoning Administrator Sue Stachowiak; 2025-12-02(day): other=in_progress by Lansing Planning Commission; 2025-12-02(day): rezoning_planning_commission_recommendation=recommended_denial by Lansing Planning Commission; 2025-12-02(day): other=recommended_approval by Lansing Planning Commission; 2026-04-07(day): project_withdrawn=withdrawn by Deep Green; 2026-04-07(day): other=withdrawn by Lansing Mayor Andy Schor
Lowell Covenant Business Park Data Center,Lowell,MI,Kent,42.880783,-85.376175,Suspended,,Franklin Partners,6,2025,2026-01-07,other|project_announced|project_suspended|project_withdrawn|public_hearing_held|rezoning_applied,2025(year): rezoning_applied=filed by Franklin Lowell LLC; 2025-12-08(day): public_hearing_held=n_a by Lowell Charter Township Planning Commission; 2025-12-12(day): project_suspended=halted by City of Lowell; 2025-12-18(day): project_withdrawn=withdrawn by Franklin Lowell LLC; 2026-01(month): other=n_a by Microsoft; 2026-01-07(day): project_announced=n_a by Microsoft
Lower Peninsula Data Center,Lower Peninsula,MI,Isabella,43.66056,-84.6665,Proposed,1000,,3,2025-08-05,2025-08-05,other|power_purchase_agreement_signed|project_announced,2025-08-05(day): project_announced=planned by Consumers Energy (CMS); 2025-08-05(day): power_purchase_agreement_signed=approved by Consumers Energy (CMS); 2025-08-05(day): other=in_progress by Michigan Public Service Commission
Alterra Development Corporation Data Center,Marshall,MI,Calhoun,42.239025,-84.955826,Proposed,,Alterra Development,2,2025-12,2025-12,land_purchased|other,2025-12(month): land_purchased=approved by City of Marshall; 2025-12(month): other=n_a by Alterra Development
"Project Flex, Lyon Township Data Center",New Hudson,MI,Oakland,42.50185,-83.61119,Approved/Permitted/Under construction,200-525,Verrus,9,2025-08,2026-01-22,other|project_announced|public_hearing_held|site_plan_applied|site_plan_approved,2025-08(month): other=n_a by Verrus; 2025-08-07(day): site_plan_applied=filed by Verrus; 2025-09-08(day): site_plan_approved=approved by Lyon Township Planning Commission; 2025-12(month): project_announced=n_a by Verrus; 2026-01-07(day): other=in_progress by Kimley-Horn (consultant for Verrus); 2026-01-08(day): other=in_progress by Lyon Township Planning Commission; 2026-01-12(day): public_hearing_held=n_a by Lyon Township Planning Commission; 2026-01-12(day): other=n_a by Lyon Township residents; 2026-01-22(day): other=n_a by Lyon Township
Related Digital/The Barn,Saline,MI,Washtenaw,42.112755,-83.88956,Approved/Permitted/Under construction,1400,Related Digital,15,2024-12-18,2026-01-20,air_permit_applied|air_permit_issued|court_ruling|lawsuit_filed|other|public_hearing_held|rezoning_applied|rezoning_council_decision|rezoning_planning_commission_recommendation|water_permit_issued,"2024-12-18(day): other=approved by Michigan Public Service Commission; 2025(year): other=n_a by DTE Energy / Related Digital; 2025-08(month): rezoning_applied=filed by Related Digital; 2025-08(month): rezoning_planning_commission_recommendation=in_progress by Saline Township Planning Commission; 2025-08-13(day): public_hearing_held=n_a by Saline Township Board; 2025-08-13(day): rezoning_council_decision=in_progress by Saline Township Board; 2025-09(month): rezoning_council_decision=denied by Saline Township Board; 2025-09-24(day): air_permit_applied=filed by Related Digital; 2025-10(month): lawsuit_filed=filed by Related Digital / landowners; 2025-10(month): court_ruling=approved by Saline Township / Related Digital; 2025-10-17(day): other=granted by Michigan Department of Environment, Great Lakes, and Energy (EGLE); 2026-01-08(day): lawsuit_filed=filed by Michigan Attorney General Dana Nessel; 2026-01-13(day): air_permit_issued=approved by Michigan Department of Environment, Great Lakes, and Energy (EGLE); 2026-01-16(day): water_permit_issued=approved by Michigan Department of Environment, Great Lakes, and Energy (EGLE); 2026-01-20(day): other=filed by Michigan Attorney General Dana Nessel"
Panattoni Project Cannoli,Van Buren Township,MI,Wayne,42.22704,-83.43421,Proposed,1000,Google,0,,,,
Washington Township Data Center,Washington Township,MI,Macomb,42.80183,-82.99235,Proposed,,Prologis,5,2025-11,2025-12-11,other|public_hearing_held|rezoning_applied|rezoning_planning_commission_recommendation,2025-11(month): rezoning_applied=filed by Prologis; 2025-12(month): rezoning_applied=filed by Prologis; 2025-12-11(day): public_hearing_held=n_a by Washington Township Planning Commission; 2025-12-11(day): rezoning_planning_commission_recommendation=in_progress by Washington Township Planning Commission; 2025-12-11(day): other=n_a by Washington Township
University of Michigan Los Alamos Data Center,Ypsilanti,MI,Washtenaw,42.20446,-83.5551,Proposed,,Los Alamos National Laboratory,12,2024-06,2026,construction_started|land_purchased|other|project_announced|public_hearing_held,"2024-06(month): land_purchased=approved by University of Michigan Board of Regents; 2024-12(month): project_announced=n_a by University of Michigan / Los Alamos National Laboratory; 2024-12(month): other=approved by Michigan Economic Development Corporation / Michigan Strategic Fund; 2025(year): other=in_progress by Ypsilanti Township / Community; 2025-06(month): public_hearing_held=n_a by Ypsilanti Township Board of Trustees; 2025-06-12(day): land_purchased=approved by University of Michigan Board of Regents; 2025-08(month): public_hearing_held=n_a by University of Michigan; 2025-08-19(day): other=n_a by Ypsilanti Township Board of Trustees; 2025-12(month): other=filed by Michigan State Rep. Jimmie Wilson Jr.; 2025-12(month): other=n_a by University of Michigan employees, faculty, and students; 2025-12-02(day): other=n_a by Ypsilanti Township Board of Trustees; 2026(year): construction_started=planned by University of Michigan"
Amazon,Becker,MN,Sherburne,45.38527,-93.8805,Suspended,,Amazon,5,2024-11,2025-05-28,land_purchased|other|project_suspended,2024-11(month): land_purchased=n_a by Amazon; 2025-05(month): other=in_progress by Minnesota Legislature / Governor Tim Walz; 2025-05-19(day): other=n_a by Minnesota Legislature; 2025-05-28(day): project_suspended=halted by Amazon; 2025-05-28(day): other=n_a by Xcel Energy
TRACT Data Center,Cannon Falls,MN,Dakota,44.53196,-92.9268,Proposed,,,7,2025,2026,construction_started|other|project_announced|public_hearing_held|rezoning_council_decision|state_environmental_review_decision|state_environmental_review_initiated,2025(year): rezoning_council_decision=planned by Cannon Falls City Council; 2025-01(month): project_announced=n_a by TRACT; 2025-01(month): state_environmental_review_initiated=in_progress by City of Cannon Falls; 2025-07-25(day): state_environmental_review_decision=approved by City of Cannon Falls; 2025-08(month): other=approved by City of Cannon Falls / Randolph Township; 2025-09(month): public_hearing_held=planned by City of Cannon Falls; 2026(year): construction_started=planned by TRACT
Cielo Digital Infrastructure,Chisago,MN,Chisago,45.3618,-92.9186,Proposed,300,,1,2025-06-24,2025-06-24,project_announced,2025-06-24(day): project_announced=planned by Cielo Digital Infrastructure
MSP1 Data Center,Eagan,MN,Dakota,44.82953,-93.1176,Approved/Permitted/Under construction,12,,3,2024,2025-08-06,construction_started|land_purchased|project_announced,2024(year): land_purchased=n_a by Ryan Companies; 2025-08-06(day): project_announced=n_a by Centra; 2025-08-06(day): construction_started=n_a by Centra
